| 2019  |   1 |     1 | 2019-12-01 15:30:54      |
| 2019  |   1 |     2 | 2019-12-01 15:32:34      |
| 2019  |   2 |     1 | 2019-12-02 02:34:19      |
| 2019  |   2 |     2 | 2019-12-02 02:37:01      |
| 2019  |   3 |     1 | 2019-12-03 13:00:56      |
| 2019  |   3 |     2 | 2019-12-03 13:04:49      |
| 2019  |   4 |     1 | 2019-12-04 00:22:35      |
| 2019  |   4 |     2 | 2019-12-04 00:23:26      |
| 2019  |   5 |     1 | 2020-12-28 18:36:38      |
| 2019  |   5 |     2 | 2020-12-28 18:40:06      |
| 2019  |   6 |     1 | 2020-12-28 18:44:06      |
| 2019  |   6 |     2 | 2020-12-28 18:46:21      |
| 2019  |   7 |     1 | 2020-12-28 18:49:53      |
| 2019  |   7 |     2 | 2020-12-28 19:03:03      |
| 2019  |   8 |     1 | 2020-12-28 19:05:37      |
| 2019  |   8 |     2 | 2020-12-28 19:07:51      |
| 2019  |   9 |     1 | 2020-12-28 19:14:06      |
| 2019  |   9 |     2 | 2020-12-28 19:14:31      |
| 2019  |  10 |     1 | 2020-12-28 19:18:30      |
| 2019  |  10 |     2 | 2020-12-28 19:26:43      |
| 2019  |  11 |     1 | 2020-12-28 19:36:13      |
| 2019  |  11 |     2 | 2020-12-28 19:38:11      |
| 2019  |  12 |     1 | 2020-12-28 19:46:48      |
| 2019  |  12 |     2 | 2020-12-28 19:54:49      |
| 2019  |  13 |     1 | 2020-12-28 19:58:01      |
| 2019  |  13 |     2 | 2020-12-28 20:08:10      |
| 2019  |  14 |     1 | 2020-12-28 20:22:40      |
| 2019  |  14 |     2 | 2020-12-28 20:24:06      |
| 2019  |  15 |     1 | 2020-12-28 20:36:26      |
| 2019  |  15 |     2 | 2020-12-28 20:37:23      |
| 2019  |  16 |     1 | 2020-12-28 20:43:39      |
| 2019  |  16 |     2 | 2020-12-28 20:55:04      |
| 2019  |  17 |     1 | 2020-12-28 21:01:14      |
| 2019  |  17 |     2 | 2020-12-28 21:27:22      |
| 2019  |  18 |     1 | 2020-12-28 22:06:33      |
| 2019  |  18 |     2 | 2020-12-28 22:12:19      |
| 2019  |  19 |     1 | 2020-12-28 22:14:32      |
| 2019  |  19 |     2 | 2020-12-28 22:36:54      |
| 2019  |  20 |     1 | 2020-12-28 22:54:34      |
| 2019  |  20 |     2 | 2020-12-28 23:04:55      |
| 2019  |  21 |     1 | 2020-12-28 23:17:34      |
| 2019  |  21 |     2 | 2020-12-28 23:44:17      |
| 2019  |  22 |     1 | 2020-12-28 23:54:14      |
| 2019  |  22 |     2 | 2020-12-29 00:00:24      |
| 2019  |  23 |     1 | 2020-12-29 00:06:02      |
| 2019  |  23 |     2 | 2020-12-29 00:13:35      |
| 2019  |  24 |     1 | 2020-12-29 00:19:21      |
| 2019  |  24 |     2 | 2020-12-29 00:31:17      |
| 2019  |  25 |     1 | 2020-12-29 00:51:16      |
| 2019  |  25 |     2 | 2020-12-29 00:51:21      |
